k1	verdict	independent_hits	in_mw	kosa_hits	in_pw_same_source
sahakAraBaYjikA	mw-only		1		1
sahakAratA	mw-only		1		1
sahalanIya	mw-only		1		1
sahama	mw-only		1		1
sahanartana	mw-only		1		1
sahapAMsukila	mw-only		1		1
saharasA	mw-only		1	skd	1
saharuRa	pwg-unique				
sahasAdfzwa	mw-only		1		1
sahasaMBava	pwg-unique				1
sahasrANka	mw-only		1		1
sahasrAraja	mw-only		1		1
sahasrAvartA	text-independent	bhs	1		1
sahasrAvartakatIrTa	mw-only		1		1
sahasrAyutIya	mw-only		1		1
sahasraBAgavatI	mw-only		1		1
sahasraBuja	text-independent	bhs	1		1
sahasraDAra	text-independent	gra	1		1
sahasraDI	mw-only		1		1
sahasrabAhavIya	mw-only		1		1
sahasradaMzwrin	mw-only		1		1
sahasrados	text-independent	ap	1		1
sahasraguRita	mw-only		1		1
sahasraharyASva	mw-only		1		1
sahasrakARqa	mw-only		1		1
sahasranAman	mw-only		1		1
sahasranetrAnanapAdabAhu	mw-only		1		1
sahasrapAda	text-independent	ap	1		1
sahasravadana	mw-only		1		1
sahasraveDa	mw-only		1		1
sahasrayajYatIrTa	mw-only		1		1
sahavivakzA	mw-only		1		1
sahitANgula	pwg-unique				
sahowaja	mw-only		1		1
sajAya	mw-only		1		1
sajambAla	text-independent	ap	1		1
sajjana	text-independent	ap	1		1
sajjanavallaBa	mw-only		1		
sajjapura	pwg-unique				
sajvara	mw-only		1		1
sakAlI	mw-only		1		1
sakAravipulA	pwg-unique				1
sakaYcuka	mw-only		1		1
sakalAgamAcArya	mw-only		1		1
sakalIviDA	mw-only		1		
sakalajananI	mw-only		1		1
sakalakala	mw-only		1		1
sakalasidDi	mw-only		1		1
sakalavedopanizatsAra	pwg-unique				1
sakarRa	text-independent	ap90|ap	1		1
sakawa	text-independent	ap90|ap	1		1
sakfdAgAmin	text-independent	bhs	1		1
sakfdgarBa	mw-only		1		1
sakfdvIra	mw-only		1		1
sakftPala	pwg-unique				1
sakfta	mw-only		1		1
sakftpraja	mw-only		1		1
sakoSa	mw-only		1		1
saktimant	pwg-unique				1
saktuPalA	text-independent	ap	1	skd	1
sakuruRqa	mw-only		1		1
sakzama	mw-only		1		1
sala	mw-only		1		1
salaKaka	mw-only		1		1
salakzaRa	text-independent	ap	1		1
salavaRa	mw-only		1		1
salhaRa	mw-only		1		1
salilajanman	mw-only		1		1
salilakuntala	mw-only		1		1
salilamuc	mw-only		1		1
salilapavanASin	mw-only		1		1
salilapriya	mw-only		1		1
salilenDana	mw-only		1		1
sallApa	mw-only		1		1
sallakzya	mw-only		1		1
salloka	mw-only		1		1
samADA	text-independent	ap90|ap	1		1
samADigarBa	text-independent	bhs	1		1
samADiprakaraRa	mw-only		1		1
samADisamAnatA	mw-only		1		1
samADiviDi	mw-only		1		1
samAMSin	mw-only		1		1
samAdeya	mw-only		1		1
samAhfti	mw-only		1		1
samAhvA	text-independent	ap90|ap	1	skd	
samAkarzin	text-independent	ap90|ap	1		1
samAkrandana	mw-only		1		1
samAkzarAvakara	mw-only		1		1
samAlI	text-independent	ap	1	skd	1
samAlambin	text-independent	ap	1		1
samAloca	mw-only		1		1
samAlocin	mw-only		1		1
samAlokin	mw-only		1		1
samAnAsa	mw-only		1		1
samAnabrahmacArin	mw-only		1		1
samAnakAlIna	text-independent	ap	1		1
samAnaruci	text-independent	ap	1		1
samAnasuKaduHKa	mw-only		1		1
samAnikA	mw-only		1		1
samAnopamA	text-independent	ap	1		1
samAntaka	pwg-unique				
samApaka	text-independent	ap90|ap	1		1
samAptAla	mw-only		1		1
samAptyarTA	mw-only		1	skd	1
samArTaka	mw-only		1		1
samAramBin	mw-only		1		1
samAsAdana	mw-only		1		1
samAsAdya	mw-only		1		1
samAsArTA	text-independent	ap	1	skd	1
samAsaBAvanA	mw-only		1		1
samAsasaMhitA	mw-only		1		1
samAsavAda	mw-only		1		1
samAsavant	pwg-unique				1
samAvftta	text-independent	ap	1		
samAya	text-independent	bhs	1		1
samIcInatva	mw-only		1		1
samIda	pwg-unique				1
samIkAra	mw-only		1		1
samIkfti	mw-only		1		1
samIkriyA	text-independent	ap90|ap	1		1
samInikA	text-independent	ap90|ap	1	skd	1
samIy	pwg-unique				1
samUra	mw-only		1		1
samUru	mw-only		1		1
samaBiDA	text-independent	ap	1		1
samaBiharaRa	mw-only		1		1
samaByASIkaraRa	mw-only		1		1
samaKAta	mw-only		1		1
samaRWa	mw-only		1		1
samaSoDana	mw-only		1		1
samaSreRi	mw-only		1		1
samabudDi	text-independent	ap|bhs	1		1
samacaturBuja	mw-only		1		1
samadu	mw-only		1		1
samadviBuja	mw-only		1		1
samadvidviBuja	mw-only		1		1
samaganDaka	mw-only		1		1
samaganDika	mw-only		1		1
samagray	pwg-unique				1
samahyA	text-independent	ap	1	skd	1
samajYA	text-independent	ap|bhs	1	skd	
samakAlIna	text-independent	ap	1		1
samaka	mw-only		1		1
samakanyA	text-independent	ap	1	skd	1
samakola	mw-only		1		1
samakozWamiti	mw-only		1		1
samakriya	mw-only		1		1
samalamba	mw-only		1		1
samamAtra	text-independent	ap	1		1
samantaBadra	text-independent	bhs	1		1
samantaBuj	text-independent	ap	1		1
samantacAritramati	text-independent	bhs	1		1
samantadugDA	text-independent	ap	1	skd	1
samantaganDa	text-independent	bhs	1		1
samantanetra	text-independent	bhs	1		1
samantapraBa	text-independent	bhs	1		1
samantaprasAdika	mw-only		1		1
samantasPAraRamuKadarSana	mw-only		1		1
samantasTUlAvalokana	mw-only		1		1
samantavyUhasAgaracaryavyavalokana	mw-only		1		1
samanubanDa	text-independent	bhs	1		1
samanujYA	text-independent	ap90|ap|bhs	1		1
samapAda	mw-only		1		1
samapada	mw-only		1		1
samarDaka	text-independent	ap90|ap	1		1
samarTatva	mw-only		1		1
samaraBU	mw-only		1		1
samaraBawa	mw-only		1		1
samaraMjaya	mw-only		1		1
samarajju	mw-only		1		1
samarakanda	pwg-unique				
samarasAra	mw-only		1		1
samarasiMha	mw-only		1		1
samarata	mw-only		1		1
samaravasuDA	mw-only		1		1
samarocita	mw-only		1		1
samasTalI	text-independent	ap	1	skd	1
samasana	mw-only		1		1
samasupti	mw-only		1		1
samasyArTA	mw-only		1	skd	1
samatraya	mw-only		1		1
samatriBuja	mw-only		1		1
samavAyANga	pwg-unique				1
samavAyana	mw-only		1		1
samavAyapramARavAdArTa	mw-only		1		1
samavaDAna	mw-only		1		1
samaveDa	mw-only		1		1
samayAnandasaMtoza	mw-only		1		1
samayAtantra	mw-only		1		1
samayakAra	mw-only		1		1
samayamayUKa	mw-only		1		1
samayapradIpa	mw-only		1		1
samayaprakASa	mw-only		1		1
samayaratna	mw-only		1		1
samayasAranAwaka	pwg-unique				
samayoddyota	mw-only		1		1
samayoga	mw-only		1		1
samazWIlA	kosa-only			skd	1
samazWila	mw-only		1		1
samba	kosa-only			skd	1
sameta	text-independent	ap90|ap	1		1
samidBAra	pwg-unique				1
samira	mw-only		1		1
samitkalApa	mw-only		1		1
samodaka	mw-only		1		1
sampa	text-independent	bhs	1		1
samu	mw-only		1		1
samuKa	text-independent	ap90|ap	1		1
samuccicIzA	mw-only		1		1
samudAgama	text-independent	bhs	1		1
samudDasta	mw-only		1		1
samuddiDIrzu	mw-only		1		1
samudrAdi	mw-only		1		1
samudrAmbarA	text-independent	ap	1	skd	1
samudrAnta	mw-only		1		1
samudrAru	mw-only		1		1
samudrAy	pwg-unique				1
samudraPala	mw-only		1		1
samudraculuka	mw-only		1		1
samudradayitA	text-independent	ap	1	skd	1
samudragfha	mw-only		1		1
samudrakAYcI	text-independent	ap	1		1
samudrakAntA	text-independent	ap	1	skd	1
samudrakaPa	mw-only		1		1
samudralavaRa	mw-only		1		1
samudrameKalA	text-independent	ap	1	skd	1
samudranavanIta	mw-only		1		1
samudratIrIya	mw-only		1		1
samudratatA	mw-only		1		1
samudravahni	mw-only		1		1
samudravasanA	text-independent	ap	1		
samudravijaya	mw-only		1		1
samudreka	pwg-unique				1
samullAsa	mw-only		1		1
samullAsin	mw-only		1		1
samulleKa	mw-only		1		1
samundana	mw-only		1		1
samunnaya	mw-only		1		1
samupajozam	text-independent	ap90|ap	1		1
samupakrama	mw-only		1		1
samupepsu	mw-only		1		1
samutPAla	mw-only		1		1
samutkroSa	mw-only		1		1
samutpAdya	mw-only		1		1
samutsAhatA	mw-only		1		1
samuttAna	mw-only		1		1
samyagdfS	mw-only		1		1
samyagdfzwi	text-independent	bhs	1		1
samyagjYAna	mw-only		1		1
samyagvarRaprayoga	mw-only		1		1
samyakAPaRa	pwg-unique				
samyakSradDAna	mw-only		1		1
samyakpravftti	mw-only		1		1
samyaktva	mw-only		1		1
sanATatA	mw-only		1		1
sanAtanaSarman	pwg-unique				1
sanI	text-independent	ap90|ap	1	skd	1
sanaparRI	mw-only		1	skd	1
sanatkumArIya	mw-only		1		1
sanatkumAraja	mw-only		1		1
sandI	mw-only		1	skd	1
sani	text-independent	gra	1		1
sanmAtra	mw-only		1		1
sanmOlika	mw-only		1		1
sanmiSrakeSava	mw-only		1		
sanmitra	mw-only		1		1
sanmuni	mw-only		1		1
sannAman	mw-only		1		1
sanna	text-independent	ap90|ap	1		1
sannaka	text-independent	ap90|ap	1		1
sannakadru	mw-only		1		1
sapItaka	mw-only		1		1
sapakzatA	mw-only		1		1
sapatnAri	mw-only		1		1
sapatnIkar	pwg-unique				
sapattrAkaraRa	mw-only		1		1
sapattrAkfti	mw-only		1		
saprEza	mw-only		1		1
saprakftika	mw-only		1		1
sapratyayaka	mw-only		1		1
sapreman	mw-only		1		1
saptAMSupuMgava	mw-only		1		1
saptASra	mw-only		1		1
saptASvavAhana	mw-only		1		1
saptAgAram	mw-only		1		1
saptAtman	text-independent	ap	1		1
saptaBadra	mw-only		1		1
saptaDAra	mw-only		1		1
saptaDAtu	text-independent	ap|gra	1		1
saptaSalAkacakra	mw-only		1		1
saptaSatikA	mw-only		1		
saptabudDastotra	mw-only		1		1
saptadIDiti	mw-only		1		1
saptadaSama	mw-only		1		1
saptadivasa	mw-only		1		1
saptahOtraprayoga	mw-only		1		1
saptaha	mw-only		1		1
saptajvAla	mw-only		1		1
saptamantra	mw-only		1		1
saptamyarkavrata	mw-only		1		1
saptanAmA	mw-only		1	skd	1
saptanAqika	mw-only		1		1
saptanalI	text-independent	ap	1		1
saptapadArTI	mw-only		1		1
saptapadArTanirUpaRa	mw-only		1		1
saptapalASa	mw-only		1		1
saptapattra	mw-only		1		1
saptaputrasU	mw-only		1		1
saptarASika	mw-only		1		1
saptarAtrika	mw-only		1		1
saptarakta	mw-only		1		1
saptarzija	mw-only		1		1
saptasU	mw-only		1		1
saptasirA	mw-only		1		1
saptavarga	mw-only		1		1
saptaviMSatima	mw-only		1		1
saptavidAru	mw-only		1		1
sarAgatA	mw-only		1		1
sarAwa	mw-only		1		
saraBaka	mw-only		1		1
saraHkAka	mw-only		1		1
saraNga	mw-only		1		1
saraNgaka	pwg-unique				1
saraRadeva	mw-only		1		1
saraktaka	pwg-unique				
saralABAzya	mw-only		1		1
saralANga	mw-only		1		1
saralIkar	pwg-unique				
saraladrava	mw-only		1		1
saralatva	mw-only		1		1
sarapattrikA	mw-only		1		1
sarasIka	pwg-unique				1
sarasaMprata	pwg-unique				1
sarasavARI	mw-only		1		1
sarasvatIbAlavARI	mw-only		1		1
sarasvatIkuwumba	mw-only		1		1
sarasvatIprakriyA	mw-only		1		1
sarasvatIrahasya	pwg-unique				1
sarasvatIsUkta	mw-only		1		1
sarasvatIsUtra	mw-only		1		1
sarasvatIstava	mw-only		1		1
sarasvatIstotra	mw-only		1		1
sarasvatItIrTa	mw-only		1		1
sarasvatIvrata	mw-only		1		1
sarat	text-independent	ap	1	skd	1
saratni	mw-only		1		1
sarava	pwg-unique				1
sarawaka	mw-only		1		1
sarawu	mw-only		1		1
sarazawwa	mw-only		1		
sari	mw-only		1		1
sariRyu	mw-only		1		1
saridBartar	pwg-unique				1
sarila	mw-only		1		1
sarinmuKa	mw-only		1		1
sarinnATa	mw-only		1		1
saritsuta	mw-only		1		1
saritvant	pwg-unique				1
sarjI	text-independent	ap90|ap	1		
sarjaganDA	mw-only		1		1
sarjaka	mw-only		1		1
sarjamaRi	mw-only		1		1
sarjaniryAsaka	mw-only		1		1
sarji	mw-only		1		1
sarjikAkzAra	mw-only		1		
sarjikzAra	mw-only		1		
sarju	mw-only		1		1
sarjya	mw-only		1		1
sarka	mw-only		1		1
saroga	mw-only		1		1
sarojIy	pwg-unique				1
sarojanman	text-independent	ap	1		1
saroruhAsana	mw-only		1		1
saroruha	mw-only		1		1
sarotsava	mw-only		1		1
sarpAKya	mw-only		1		1
sarpANgI	mw-only		1	skd	1
sarpASana	mw-only		1		1
sarpAdanI	text-independent	ap	1	skd	1
sarpArAti	mw-only		1		1
sarpIzwa	mw-only		1		1
sarpaBuj	text-independent	ap	1		1
sarpaGAtinI	mw-only		1	skd	1
sarpaSiras	mw-only		1		1
sarpabala	mw-only		1		1
sarpabali	mw-only		1		1
sarpadaMzwra	mw-only		1		1
sarpadaMzwrikA	mw-only		1	skd	1
sarpadaRqA	text-independent	ap	1	skd	1
sarpadaRqI	mw-only		1	skd	1
sarpadamanI	text-independent	ap	1	skd	1
sarpadantI	mw-only		1	skd	1
sarpadviz	text-independent	ap	1		1
sarpahan	text-independent	ap	1		1
sarpakaNkAlI	mw-only		1	skd	1
sarpakaNkAlikA	mw-only		1	skd	1
sarpalatA	text-independent	ap	1	skd	1
sarpamAlA	mw-only		1	skd	1
sarpanetrA	mw-only		1		1
sarpapuzpI	mw-only		1	skd	1
sarpasahA	mw-only		1	skd	1
sarpasattrin	mw-only		1		1
sarpatfRa	mw-only		1		1
sarpavallI	mw-only		1		1
sarpezwa	mw-only		1		1
sarpiHsamudra	mw-only		1		1
sarujasidDAcArya	mw-only		1		1
saruz	mw-only		1		1
sarvABisAra	mw-only		1		1
sarvABisaMDaka	mw-only		1		1
sarvABisaMDin	mw-only		1		1
sarvAByantara	mw-only		1		1
sarvADikAra	mw-only		1		1
sarvANgasundarI	mw-only		1		
sarvANgasundara	mw-only		1		1
sarvANka	mw-only		1		1
sarvARI	text-independent	ap90|ap	1		1
sarvASramin	mw-only		1		1
sarvAgamopanizad	mw-only		1		1
sarvAhaMmAnin	pwg-unique				1
sarvAkarapraBAkara	mw-only		1		1
sarvAkaravaropeta	pwg-unique				1
sarvAnanda	mw-only		1		1
sarvAnavadyakAriRI	mw-only		1		1
sarvAnnaBakzaka	mw-only		1		1
sarvAnnaBojin	mw-only		1		
sarvAntarasTa	mw-only		1		
sarvAnukAriRI	mw-only		1		1
sarvAnukrama	mw-only		1		1
sarvAnukramaRI	text-independent	ap	1		1
sarvAnukramaRikA	text-independent	ap	1		1
sarvArTAnusADin	mw-only		1		1
sarvArTa	mw-only		1		1
sarvArTasADana	mw-only		1		1
sarvArTasidDi	mw-only		1		1
sarvAstivAda	text-independent	bhs	1		1
sarvAstramahAjvAlA	mw-only		1		1
sarvAtmadfS	mw-only		1		1
sarvAvasara	mw-only		1		1
sarvAyasa	mw-only		1		1
sarvIya	mw-only		1		1
sarvOGa	mw-only		1		1
sarvOzaDi	text-independent	bhs	1		1
sarvOzaDigaRa	mw-only		1		1
sarvaBAvADizWAtar	pwg-unique				1
sarvaBakzin	mw-only		1		1
sarvaBawwa	mw-only		1		1
sarvaDanvan	pwg-unique				
sarvaDara	mw-only		1		1
sarvaDarmamudrA	text-independent	bhs			1
sarvaDarmapadapraBeda	text-independent	bhs	1		1
sarvaDarmaprakASa	mw-only		1		1
sarvaDarmapraveSamudrA	text-independent	bhs			1
sarvaDarmasamatA	text-independent	bhs	1		1
sarvaDarmasamavaSaraRasAgaramudrA	mw-only		1		1
sarvaDurAvaha	mw-only		1		1
sarvaMdama	mw-only		1		1
sarvaMdamana	mw-only		1		1
sarvaPalatyAgacaturdaSI	mw-only		1		1
sarvaSIGra	mw-only		1		1
sarvaSUnyatva	mw-only		1		1
sarvaSukla	mw-only		1		1
sarvabAhya	mw-only		1		1
sarvacakrA	text-independent	bhs	1		1
sarvadAsa	mw-only		1		1
sarvadevamuKa	mw-only		1		1
sarvadrazwar	pwg-unique				1
sarvaduHKakzaya	mw-only		1		1
sarvagrAsa	mw-only		1		1
sarvagrAsam	mw-only		1		1
sarvagranTi	mw-only		1		1
sarvaguRasaMcayagata	text-independent	bhs	1		1
sarvaguru	mw-only		1		1
sarvahatyA	mw-only		1		1
sarvajYAna	mw-only		1		1
sarvajYAtar	pwg-unique				1
sarvajYAtmagiri	mw-only		1		1
sarvajYanArAyaRa	mw-only		1		1
sarvajYaputra	mw-only		1		1
sarvajYarAmeSvaraBawwAraka	mw-only		1		1
sarvajYavAsudeva	mw-only		1		1
sarvajaya	mw-only		1		1
sarvakAmaduh	mw-only		1		1
sarvakAzam	mw-only		1		1
sarvakzAra	mw-only		1		1
sarvalA	text-independent	ap90|ap	1		1
sarvalI	text-independent	ap90|ap	1		1
sarvalOha	mw-only		1		1
sarvalaGu	mw-only		1		1
sarvaliNgasADanI	mw-only		1		1
sarvaliNgasaMnyAsanirRaya	mw-only		1		1
sarvaliNgin	text-independent	ap	1		1
sarvaloha	mw-only		1		1
sarvamUlya	mw-only		1		1
sarvamUrDanya	mw-only		1		1
sarvamUzaka	mw-only		1		1
sarvamaRqalasADanI	mw-only		1		1
sarvamalApagata	text-independent	bhs	1		1
sarvameDyatva	mw-only		1		
sarvanikzepA	text-independent	ap|bhs	1		1
sarvapA	mw-only		1		1
sarvapUrRatva	mw-only		1		1
sarvapUta	mw-only		1		1
sarvapariPulla	mw-only		1		1
sarvarAjendra	mw-only		1		1
sarvarRikA	pwg-unique				
sarvarakzaRa	mw-only		1		1
sarvaratnaka	mw-only		1		1
sarvaroga	mw-only		1		1
sarvartu	mw-only		1		1
sarvartuparivarta	mw-only		1		1
sarvasADana	mw-only		1		1
sarvasAmAnya	text-independent	ap	1		1
sarvasAra	mw-only		1		1
sarvasAropanizad	mw-only		1		1
sarvasaMgata	mw-only		1		1
sarvasaMjYA	text-independent	bhs	1		1
sarvasaMnAha	mw-only		1		1
sarvasaMnahana	mw-only		1		1
sarvasaMpannasasya	pwg-unique				1
sarvasaMsargalavaRa	mw-only		1		1
sarvasasya	mw-only		1		1
sarvasidDA	mw-only		1		1
sarvasidDi	mw-only		1		1
sarvasuKaduHKaniraBinandin	text-independent	bhs	1		1
sarvasvAra	mw-only		1		1
sarvasvarRamaya	mw-only		1		1
sarvasvin	text-independent	ap	1		1
sarvatApana	mw-only		1		1
sarvatIkzRa	mw-only		1		1
sarvataHSuBA	text-independent	ap	1		1
sarvataScakzus	mw-only		1		1
sarvatiktA	mw-only		1		1
sarvatragAmin	text-independent	ap	1		1
sarvavEnASika	mw-only		1		1
sarvavallaBA	text-independent	ap	1		1
sarvavarman	mw-only		1		1
sarvaveda	mw-only		1		1
sarvavedin	mw-only		1		1
sarvavettar	pwg-unique				1
sarvavezin	mw-only		1		1
sarvavidyAmaya	mw-only		1		1
sarvavidyAvinodaBawwAcArya	mw-only		1		1
sarvavittva	mw-only		1		1
sarvavyApin	text-independent	ap	1		1
sarvayatnavant	pwg-unique				1
sarvezwada	mw-only		1		1
sarvodyukta	mw-only		1		1
sarvopakAriRI	mw-only		1		1
sarvopanizad	mw-only		1		1
sarvopanizatsAra	mw-only		1		1
sarvottama	text-independent	ap	1		1
sarvottaratvABiDAna	mw-only		1		1
sasADanopavarganirUpaRa	mw-only		1		1
sasIman	mw-only		1		1
sasantAloka	pwg-unique				
sastrIka	mw-only		1		1
sasura	mw-only		1		1
sasveda	text-independent	ap90|ap	1		1
sasyaSIrzaka	mw-only		1		1
sasyaSUka	pwg-unique				1
sasyamaYjarI	text-independent	ap	1		1
sasyasaMvara	mw-only		1		1
sasyasaMvaraRa	mw-only		1		1
satAha	pwg-unique				
satArA	mw-only		1		1
satI	text-independent	ap90|ap	1	skd	1
satISvara	mw-only		1		1
satIla	mw-only		1		1
satIlaka	mw-only		1		1
satInaka	mw-only		1		1
satIvratA	mw-only		1		1
satPala	mw-only		1		1
sataHpaNkti	mw-only		1		1
satera	mw-only		1		1
satfz	mw-only		1		1
satila	mw-only		1		1
satkARqa	mw-only		1		1
satkAYcanAra	mw-only		1		1
satkAvya	mw-only		1		1
satkIrti	mw-only		1		1
satkadamba	mw-only		1		1
satkalA	mw-only		1		1
satkavi	mw-only		1		1
satkulIna	text-independent	ap	1		1
satkzetra	mw-only		1		1
satpaSu	mw-only		1		1
satpadDati	mw-only		1		1
satpattra	mw-only		1		1
satprakriyA	pwg-unique				
satpratijYa	mw-only		1		1
satpratipakzin	mw-only		1		1
satputra	mw-only		1		1
satrijAtaka	mw-only		1		1
satsAra	text-independent	ap	1		1
satsaMvinmaya	mw-only		1		1
satsuKAnuBava	mw-only		1		1
satti	mw-only		1		1
sattraspardDi	pwg-unique				
sattri	mw-only		1		1
sattvaprakASa	mw-only		1		1
sattvasTAna	mw-only		1		1
satyASraya	mw-only		1		1
satyAgni	mw-only		1		1
satyAkfti	mw-only		1		1
satyAnanda	mw-only		1		1
satyApana	mw-only		1		1
satyAzAQa	mw-only		1		1
satyaBArata	mw-only		1		1
satyaBAzaRa	mw-only		1		1
satyaKAna	mw-only		1		1
satyaPala	mw-only		1		1
satyaSrI	mw-only		1		1
satyaga	mw-only		1		1
satyajYAnAnandatIrTa	mw-only		1		1
satyakriyA	text-independent	ap	1		1
satyamOdgala	mw-only		1		1
satyanATa	mw-only		1		1
satyanArAyaRa	mw-only		1		1
satyapravAda	mw-only		1		1
satyapura	mw-only		1		1
satyarata	text-independent	ap	1		1
satyasatI	mw-only		1		1
satyatapas	text-independent	ap	1		1
satyatitikzAvant	pwg-unique				1
satyavAc	text-independent	ap|gra	1		1
satyavAcaka	mw-only		1		1
satyavacas	text-independent	ap	1		1
satyavidyA	mw-only		1		1
satyayOvana	mw-only		1		1
satyayuga	mw-only		1		1
satyetara	mw-only		1		1
satyodya	text-independent	ap	1		1
savahA	mw-only		1	skd	1
savara	text-independent	bhs	1		1
saveSIya	mw-only		1		1
savfzwika	mw-only		1		1
saviSezaRa	mw-only		1		1
savitar	pwg-unique				1
savitfdevata	mw-only		1		1
savitfputra	mw-only		1		1
savyADi	mw-only		1		1
sawANka	mw-only		1		1
sawvA	text-independent	ap90|ap	1	skd	1
sayati	mw-only		1		1
se	mw-only		1		1
seNgara	mw-only		1		1
secaka	text-independent	ap90|ap	1		1
sehuRqa	mw-only		1		1
sekaBAjana	mw-only		1		1
sekaMDara	mw-only		1		1
sekapAtra	mw-only		1		1
sekima	mw-only		1		1
selhAra	mw-only		1		1
semantI	text-independent	ap	1	skd	1
senADinATa	mw-only		1		1
senADipati	mw-only		1		1
senApura	mw-only		1		1
senArakza	mw-only		1		1
senAsTAna	mw-only		1		
senAvyUha	mw-only		1		1
sena	text-independent	ap90|ap	1		1
senahan	mw-only		1		1
senakula	mw-only		1		1
serAha	mw-only		1		1
setikA	text-independent	ap90|ap		skd	1
setikartavyatAka	pwg-unique				1
setuBeda	mw-only		1		1
setuBedin	text-independent	ap	1		1
setuKaRqa	mw-only		1		1
setuka	mw-only		1		1
setumaNgalatantra	pwg-unique				1
setusaraRi	mw-only		1		1
setuvfkza	mw-only		1		1
setuzAman	mw-only		1		1
sevAPala	pwg-unique				1
sevAYjali	mw-only		1		1
sevAkOmudI	mw-only		1		1
sevAvftti	mw-only		1		1
sevakAlu	mw-only		1		1
sevaka	text-independent	ap90|ap|bhs	1		1
sevi	text-independent	ap90|ap	1	skd	1
sevita	text-independent	ap90|ap	1		1
sevyatA	mw-only		1		1
sewa	mw-only		1		1
sewu	mw-only		1		1
sfRa	pwg-unique				
sfgAlAsTimaya	mw-only		1		1
sfgAlaGaRwI	mw-only		1		1
sfgAlajambU	mw-only		1		1
sfgAlakaRwaka	mw-only		1		1
sfgAlakoli	mw-only		1		1
sfgAlavfntA	mw-only		1		1
sfga	mw-only		1		1
sfjana	mw-only		1		1
sfjikAkzAra	mw-only		1		1
sfkAla	mw-only		1		1
sfkAvin	mw-only		1		1
sfpAwikA	text-independent	ap90|ap	1	skd	1
sfzwiDara	mw-only		1		1
sfzwiKaRqa	mw-only		1		1
sfzwidA	mw-only		1		1
sfzwipradA	mw-only		1	skd	1
siDmapuzpikA	mw-only		1	skd	1
siMhAsana	mw-only		1		1
siMhAsanatraya	mw-only		1		1
siMhAsya	mw-only		1		1
siMhAvaloka	mw-only		1		1
siMhAvalokita	mw-only		1		1
siMhAy	pwg-unique				1
siMhagiri	mw-only		1		1
siMhahanu	text-independent	bhs	1		1
siMhakeli	mw-only		1		1
siMhakesara	mw-only		1		1
siMhalAsTAna	mw-only		1		1
siMhalIla	mw-only		1		1
siMhalamba	mw-only		1		1
siMhalasTA	text-independent	ap	1	skd	1
siMhanAdaka	mw-only		1		1
siMhanAdanAdin	text-independent	bhs	1		1
siMhaparRI	mw-only		1	skd	
siMhaparRikA	mw-only		1		1
siMhaparipfcCA	text-independent	bhs	1		1
siMhapradIpa	mw-only		1		1
siMhapucCI	mw-only		1	skd	1
siMhapucCikA	mw-only		1	skd	1
siMhapuzpI	mw-only		1	skd	1
siMhasAhi	mw-only		1		1
siMhasaMhanana	text-independent	ap	1		1
siMhatAla	mw-only		1		1
siMhatala	mw-only		1		1
siMhavAhana	mw-only		1		1
siMhavAhin	mw-only		1		1
siMhavatsa	text-independent	bhs	1		1
siMhavijfmBitA	text-independent	bhs			
siMhavikrAnta	mw-only		1		1
siMhavikrIqita	text-independent	bhs	1		1
siMhavinnA	mw-only		1	skd	1
siMhavyAGra	mw-only		1		1
siMhayAnA	text-independent	ap	1	skd	1
siMhodDatA	mw-only		1		1
siMhonnatA	mw-only		1		1
siNGaRadeva	mw-only		1		1
siNgABawwa	mw-only		1		1
siNgApidi	mw-only		1		1
siYcatA	text-independent	ap	1		1
sidDAgama	mw-only		1		1
sidDAmbA	mw-only		1		1
sidDAntaBedalavasaMgraha	pwg-unique				1
sidDAntaSeKara	mw-only		1		1
sidDAntaSiromaRi	mw-only		1		1
sidDAntabindu	mw-only		1		1
sidDAntacUqAmaRi	mw-only		1		1
sidDAntacandrikA	mw-only		1		1
sidDAntacandrodaya	mw-only		1		1
sidDAntacintAmaRi	mw-only		1		1
sidDAntadIpikA	mw-only		1		1
sidDAntadIpika	pwg-unique				
sidDAntagarBa	mw-only		1		1
sidDAntakalpataru	pwg-unique				1
sidDAntalaGuKamARika	mw-only		1		1
sidDAntalakzaRAkroqa	pwg-unique				1
sidDAntaleSa	mw-only		1		1
sidDAntamaYjarI	mw-only		1		1
sidDAntamuktAvalI	mw-only		1		1
sidDAntapadDati	mw-only		1		1
sidDAntarahasya	mw-only		1		1
sidDAntaratna	mw-only		1		1
sidDAntasAra	mw-only		1		1
sidDAntasArvaBOma	mw-only		1		1
sidDAntasUktimaYjarI	pwg-unique				
sidDAntasaMdarBa	mw-only		1		1
sidDAntasaMgraha	mw-only		1		1
sidDAntasaMhitAsArasamuccaya	mw-only		1		1
sidDAntasundara	mw-only		1		1
sidDAntatattva	mw-only		1		1
sidDAntavAgISa	mw-only		1		1
sidDAntavelA	mw-only		1		1
sidDAntin	text-independent	ap	1		1
sidDApagA	text-independent	ap	1	skd	1
sidDArTin	mw-only		1		1
sidDAri	mw-only		1		1
sidDAsana	mw-only		1		1
sidDAyikA	mw-only		1	skd	1
sidDOGa	mw-only		1		1
sidDOzaDa	mw-only		1		1
sidDOzaDika	mw-only		1		1
sidDaDAtu	mw-only		1		1
sidDaKaRqa	mw-only		1		1
sidDabudDa	mw-only		1		1
sidDadarSana	mw-only		1		1
sidDadeva	mw-only		1		1
sidDadravya	mw-only		1		1
